Update_Date_Team,Competition_ID,Competiton,Team_ID,Team,Overall_Comp,Attack_Comp,Milieu_Comp,Defense_Comp,NbJoueurs_Team,pays
"Jul 26, 2022",13, [England] Premier League,11,Manchester United,82,82,83,81,33,England
"Jul 26, 2022",319, [Czech Republic] Fortuna Liga,267,Sparta Praha,73,74,73,72,28,Czech Republic
"Jul 26, 2022",13, [England] Premier League,5,Chelsea,83,83,79,83,33,England
"Jul 26, 2022",53, [Spain] La Liga,461,Valencia,76,78,74,77,33,Spain
"Jul 26, 2022",13, [England] Premier League,95,Leicester City,79,80,80,77,33,England
"Jul 26, 2022",16, [France] Ligue 1,73,Paris Saint Germain,84,91,83,83,23,France
"Jul 26, 2022",31, [Italy] Serie A,45,Juventus,82,82,81,81,28,Italy
"Jul 26, 2022",13, [England] Premier League,10,Manchester City,85,85,87,84,26,England
"Jul 26, 2022",13, [England] Premier League,13,Newcastle United,79,79,79,79,30,England
"Jul 26, 2022",19, [Germany] Bundesliga,21,FC Bayern München,85,83,85,84,28,Germany
"Jul 26, 2022",13, [England] Premier League,1,Arsenal,81,82,82,81,31,England
"Jul 26, 2022",53, [Spain] La Liga,243,Real Madrid,85,85,86,84,33,Spain
"Jul 26, 2022",53, [Spain] La Liga,241,FC Barcelona,83,83,85,82,31,Spain
"Jul 26, 2022",19, [Germany] Bundesliga,22,Borussia Dortmund,81,78,80,81,32,Germany
"Jul 26, 2022",13, [England] Premier League,9,Liverpool,84,84,82,85,33,England
"Jul 26, 2022",65, [Republic of Ireland] Premier Division,111132,UCD,54,51,53,56,18,Republic of Ireland
"Jul 26, 2022",14, [England] Championship,1792,Norwich City,72,72,71,72,28,England
"Jul 26, 2022",65, [Republic of Ireland] Premier Division,306,Shamrock Rovers,63,65,62,63,26,Republic of Ireland
"Jul 26, 2022",4, [Belgium] Jupiler Pro League,231,Club Brugge,75,75,75,74,27,Belgium
"Jul 26, 2022",53, [Spain] La Liga,483,Villarreal,80,82,80,79,22,Spain
"Jul 26, 2022",53, [Spain] La Liga,1860,Getafe,77,76,78,76,29,Spain
"Jul 26, 2022",4, [Belgium] Jupiler Pro League,229,Anderlecht,72,73,71,73,28,Belgium
"Jul 26, 2022",20, [Germany] 2. Bundesliga,28,Hamburger SV,71,71,72,69,29,Germany
"Jul 26, 2022",31, [Italy] Serie A,110373,Salernitana,74,75,73,72,29,Italy
"Jul 26, 2022",19, [Germany] Bundesliga,31,FC Köln,74,71,74,74,32,Germany
"Jul 26, 2022",19, [Germany] Bundesliga,32,Bayer 04 Leverkusen,79,80,79,80,30,Germany
"Jul 26, 2022",16, [France] Ligue 1,69,Monaco,77,81,77,77,26,Monaco
"Jul 26, 2022",10, [Netherlands] Eredivisie,247,PSV,76,76,77,74,28,Netherlands
"Jul 26, 2022",53, [Spain] La Liga,240,Atlético Madrid,83,83,83,81,33,Spain
"Jul 26, 2022",19, [Germany] Bundesliga,112172,RB Leipzig,81,83,81,80,26,Germany
"Jul 26, 2022",308, [Portugal] Liga Portugal,237,Sporting CP,78,77,79,78,30,Portugal
"Jul 26, 2022",10, [Netherlands] Eredivisie,1904,NAC Breda,67,68,66,66,30,Netherlands
"Jul 26, 2022",19, [Germany] Bundesliga,34,Schalke 04,73,74,72,72,33,Germany
"Jul 26, 2022",31, [Italy] Serie A,110374,Fiorentina,78,77,78,78,26,Italy
"Jul 26, 2022",19, [Germany] Bundesliga,175,VfL Wolfsburg,76,76,76,76,27,Germany
"Jul 26, 2022",19, [Germany] Bundesliga,166,Hertha BSC,74,74,75,73,31,Germany
"Jul 26, 2022",19, [Germany] Bundesliga,38,Werder Bremen,73,75,72,74,26,Germany
"Jul 26, 2022",50, [Scotland] Premiership,78,Celtic,74,74,75,73,28,Scotland
"Jul 26, 2022",19, [Germany] Bundesliga,36,VfB Stuttgart,74,75,73,75,33,Germany
"Jul 26, 2022",14, [England] Championship,1794,Sheffield United,72,71,73,72,30,England
"Jul 26, 2022",308, [Portugal] Liga Portugal,236,Porto,78,80,78,76,30,Portugal
"Jul 26, 2022",14, [England] Championship,3,Blackburn Rovers,70,71,69,70,30,England
"Jul 26, 2022",53, [Spain] La Liga,449,Real Betis,79,80,81,76,33,Spain
"Jul 26, 2022",39, [United States] Major League Soccer,112996,Los Angeles FC,72,73,73,72,26,United States
"Jul 26, 2022",68, [Turkey] Super Lig,326,Fenerbahçe,76,77,76,74,28,Turkey
"Jul 26, 2022",31, [Italy] Serie A,347,Lecce,73,72,71,73,33,Italy
"Jul 26, 2022",53, [Spain] La Liga,481,Sevilla,81,79,82,80,29,Spain
"Jul 26, 2022",31, [Italy] Serie A,111811,Monza,75,75,76,75,31,Italy
"Jul 26, 2022",60, [England] League One,1807,Sheffield Wednesday,67,67,68,67,25,England
"Jul 26, 2022",14, [England] Championship,1919,Bristol City,69,67,70,69,27,England
"Jul 26, 2022",54, [Spain] La Liga 2,110832,Granada,73,75,73,71,30,Spain
"Jul 26, 2022",4, [Belgium] Jupiler Pro League,673,Genk,72,72,73,72,27,Belgium
"Jul 26, 2022",32, [Italy] Serie B,110556,Genoa,72,73,71,72,28,Italy
"Jul 26, 2022",14, [England] Championship,109,West Bromwich Albion,72,73,72,71,30,England
"Jul 26, 2022",20, [Germany] 2. Bundesliga,110329,St. Pauli,69,68,70,69,30,Germany
"Jul 26, 2022",350, [Saudi Arabia] Pro League,112139,Al Nassr,73,88,71,72,30,Saudi Arabia
"Jul 26, 2022",14, [England] Championship,1793,Reading,69,70,70,68,30,England
"Jul 26, 2022",308, [Portugal] Liga Portugal,112513,Arouca,69,69,69,69,27,Portugal
"Jul 26, 2022",83, [Korea Republic] K League 1,983,Suwon Bluewings,67,67,68,67,28,Korea Republic
"Jul 26, 2022",60, [England] League One,94,Ipswich Town,67,67,68,67,28,England
"Jul 26, 2022",60, [England] League One,91,Derby County,67,68,68,66,26,England
"Jul 26, 2022",53, [Spain] La Liga,110062,Girona,75,77,76,74,30,Spain
"Jul 26, 2022",62, [England] National League,1947,Wrexham,63,65,62,63,28,Wales
"Jul 26, 2022",14, [England] Championship,1952,Hull City,70,71,70,68,30,England
"Jul 26, 2022",14, [England] Championship,1801,Preston North End,70,65,70,69,30,England
"Jul 26, 2022",54, [Spain] La Liga 2,472,Las Palmas,72,72,73,72,30,Spain
"Jul 26, 2022",13, [England] Premier League,1799,Crystal Palace,76,77,76,76,30,England
"Jul 26, 2022",16, [France] Ligue 1,65,Lille,75,76,75,76,23,France
"Jul 26, 2022",32, [Italy] Serie B,50,Parma,70,70,70,68,28,Italy
"Jul 26, 2022",60, [England] League One,1790,Portsmouth,66,65,65,65,28,England
"Jul 26, 2022",78, [World] Friendly International,1330,Czech Republic,76,79,76,73,23,Czech Republic
"Jul 26, 2022",32, [Italy] Serie B,205,Venezia,70,71,71,68,28,Italy
"Jul 26, 2022",16, [France] Ligue 1,72,Nice,76,78,75,76,25,France
"Jul 26, 2022",353, [Argentina] Liga Profesional,1876,River Plate,76,76,76,75,28,Argentina
"Jul 26, 2022",19, [Germany] Bundesliga,169,FSV Mainz 05,75,76,75,74,29,Germany
"Jul 26, 2022",78, [World] Friendly International,1387,United States,75,75,76,74,23,United States
"Jul 26, 2022",14, [England] Championship,1800,Coventry City,70,70,72,69,30,England
"Jul 26, 2022",53, [Spain] La Liga,462,Real Valladolid,75,74,75,74,33,Spain
"Jul 26, 2022",78, [World] Friendly International,1386,Mexico,77,79,77,76,23,Mexico
"Jul 26, 2022",39, [United States] Major League Soccer,111140,Portland Timbers,70,70,71,70,26,United States
"Jul 26, 2022",60, [England] League One,1951,Oxford United,65,64,67,65,28,England
"Jul 26, 2022",39, [United States] Major League Soccer,111651,Toronto,70,74,70,68,28,Canada
"Jul 26, 2022",32, [Italy] Serie B,1842,Cagliari,70,72,68,67,27,Italy
"Jul 26, 2022",78, [World] Friendly International,105035,Netherlands,82,83,82,82,23,Netherlands
"Jul 26, 2022",14, [England] Championship,1939,Huddersfield Town,70,67,68,69,30,England
"Jul 26, 2022",2076, [Germany] 3. Liga,110676,Borussia Dortmund II,63,64,63,63,23,Germany
"Jul 26, 2022",32, [Italy] Serie B,1848,Bari 1908,69,69,69,68,28,Italy
"Jul 26, 2022",39, [United States] Major League Soccer,111144,Seattle Sounders,70,72,71,69,27,United States
"Jul 26, 2022",39, [United States] Major League Soccer,111065,Real Salt Lake,67,71,67,66,26,United States
"Jul 26, 2022",31, [Italy] Serie A,110741,Spezia,73,74,72,72,28,Italy
"Jul 26, 2022",61, [England] League Two,1958,Leyton Orient,63,61,63,64,28,England
"Jul 26, 2022",32, [Italy] Serie B,110738,Pisa,69,69,69,71,25,Italy
"Jul 26, 2022",308, [Portugal] Liga Portugal,1893,Marítimo,70,68,69,71,30,Portugal
"Jul 26, 2022",14, [England] Championship,1923,Luton Town,69,70,70,69,30,England
"Jul 26, 2022",32, [Italy] Serie B,1745,Como,69,70,69,68,28,Italy
"Jul 26, 2022",10, [Netherlands] Eredivisie,1908,FC Twente,71,72,71,71,24,Netherlands
"Jul 26, 2022",31, [Italy] Serie A,111434,Cremonese,71,71,71,72,26,Italy
"Jul 26, 2022",353, [Argentina] Liga Profesional,101085,Racing Club,74,72,74,73,27,Argentina
"Jul 26, 2022",54, [Spain] La Liga 2,110827,Real Oviedo,70,72,69,69,30,Spain
"Jul 26, 2022",78, [World] Friendly International,1369,Argentina,83,84,82,82,23,Argentina
"Jul 26, 2022",308, [Portugal] Liga Portugal,1888,Gil Vicente,71,72,70,70,29,Portugal
"Jul 26, 2022",78, [World] Friendly International,111111,Morocco,77,77,74,78,23,Morocco
"Jul 26, 2022",78, [World] Friendly International,1886,Hungary,74,76,72,74,23,Hungary
"Jul 26, 2022",78, [World] Friendly International,1352,Norway,76,82,77,74,23,Norway
"Jul 26, 2022",17, [France] Ligue 2,59,Bordeaux,68,68,68,71,26,France
"Jul 26, 2022",2076, [Germany] 3. Liga,487,Osnabrück,65,64,66,64,27,Germany
"Jul 26, 2022",54, [Spain] La Liga 2,467,SD Eibar,71,72,71,71,28,Spain
"Jul 26, 2022",16, [France] Ligue 1,76,Strasbourg,74,77,74,73,28,France
"Jul 26, 2022",78, [World] Friendly International,1359,Scotland,75,73,75,77,23,Scotland
"Jul 26, 2022",10, [Netherlands] Eredivisie,1913,SC Heerenveen,69,68,68,70,30,Netherlands
"Jul 26, 2022",60, [England] League One,1929,Plymouth Argyle,66,66,65,67,28,England
"Jul 26, 2022",53, [Spain] La Liga,453,Mallorca,75,75,75,75,33,Spain
"Jul 26, 2022",10, [Netherlands] Eredivisie,1910,NEC,69,67,71,68,27,Netherlands
"Jul 26, 2022",189, [Switzerland] Super League,110770,Sion,68,77,68,65,27,Switzerland
"Jul 26, 2022",2018, [Ecuador] Liga Pro,112908,Independiente del Valle,68,70,67,68,19,Ecuador
"Jul 26, 2022",54, [Spain] La Liga 2,113981,UD Ibiza,68,69,67,68,26,Spain
"Jul 26, 2022",39, [United States] Major League Soccer,112885,Atlanta United,69,63,71,65,25,United States
"Jul 26, 2022",319, [Czech Republic] Fortuna Liga,110468,Viktoria Plzeň,73,73,73,73,27,Czech Republic
"Jul 26, 2022",60, [England] League One,1962,Bristol Rovers,64,64,64,62,28,England
"Jul 26, 2022",308, [Portugal] Liga Portugal,114510,Casa Pia,70,71,70,70,28,Portugal
"Jul 26, 2022",20, [Germany] 2. Bundesliga,10030,Paderborn,69,70,69,67,28,Germany
"Jul 26, 2022",61, [England] League Two,1955,Rochdale,61,60,62,61,27,England
"Jul 26, 2022",78, [World] Friendly International,111462,Ghana,75,81,76,75,23,Ghana
"Jul 26, 2022",61, [England] League Two,1941,Hartlepool United,61,59,61,59,28,England
"Jul 26, 2022",2012, [China PR] Super League,112978,Hebei CFFC,55,55,54,57,28,China PR
"Jul 26, 2022",78, [World] Friendly International,1413,China PR,62,58,61,59,23,China PR
"Jul 26, 2022",61, [England] League Two,1934,Swindon Town,62,64,60,61,28,England
"Jul 26, 2022",68, [Turkey] Super Lig,110776,Gaziantep F.K.,69,68,70,68,25,Turkey
"Jul 26, 2022",32, [Italy] Serie B,1847,Ascoli,69,69,69,69,28,Italy
"Jul 26, 2022",32, [Italy] Serie B,1843,Palermo,69,69,67,68,28,Italy
"Jul 26, 2022",2149, [India] Indian Super League,113257,Odisha FC,58,60,59,58,28,India
"Jul 26, 2022",19, [Germany] Bundesliga,100409,FC Augsburg,74,73,74,74,33,Germany
"Jul 26, 2022",68, [Turkey] Super Lig,101028,Hatayspor,69,72,69,68,28,Turkey
"Jul 26, 2022",2012, [China PR] Super League,111724,Shandong Luneng,69,72,69,67,28,China PR
