Update_Date_Team,Competition_ID,Competiton,Team_ID,Team,Overall_Comp,Attack_Comp,Milieu_Comp,Defense_Comp,NbJoueurs_Team,pays
"Oct 28, 2022",13, [England] Premier League,5,Chelsea,83,83,79,83,33,England
"Oct 28, 2022",13, [England] Premier League,10,Manchester City,85,85,87,84,26,England
"Oct 28, 2022",53, [Spain] La Liga,241,FC Barcelona,83,83,85,82,31,Spain
"Oct 28, 2022",10, [Netherlands] Eredivisie,246,Feyenoord,75,73,77,74,27,Netherlands
"Oct 28, 2022",350, [Saudi Arabia] Pro League,112139,Al Nassr,73,88,71,72,30,Saudi Arabia
"Oct 28, 2022",13, [England] Premier League,1808,Brighton & Hove Albion,76,75,76,77,29,England
"Oct 28, 2022",68, [Turkey] Super Lig,325,Galatasaray,76,79,76,74,28,Turkey
"Oct 28, 2022",13, [England] Premier League,110,Wolverhampton Wanderers,78,78,80,74,33,England
"Oct 28, 2022",10, [Netherlands] Eredivisie,245,Ajax,77,79,78,76,27,Netherlands
"Oct 28, 2022",31, [Italy] Serie A,48,Napoli,80,80,81,80,26,Italy
"Oct 28, 2022",13, [England] Premier League,1,Arsenal,81,82,82,81,31,England
"Oct 28, 2022",13, [England] Premier League,18,Tottenham Hotspur,82,84,82,80,28,England
"Oct 28, 2022",13, [England] Premier League,9,Liverpool,84,84,82,85,33,England
"Oct 28, 2022",53, [Spain] La Liga,243,Real Madrid,85,85,86,84,33,Spain
"Oct 28, 2022",13, [England] Premier League,11,Manchester United,82,82,83,81,33,England
"Oct 28, 2022",308, [Portugal] Liga Portugal,234,Benfica,79,80,79,78,25,Portugal
"Oct 28, 2022",53, [Spain] La Liga,457,Real Sociedad,79,78,80,78,33,Spain
"Oct 28, 2022",53, [Spain] La Liga,481,Sevilla,81,79,82,80,29,Spain
"Oct 28, 2022",353, [Argentina] Liga Profesional,1877,Boca Juniors,75,75,75,75,28,Argentina
"Oct 28, 2022",350, [Saudi Arabia] Pro League,605,Al Hilal,73,75,74,70,30,Saudi Arabia
"Oct 28, 2022",54, [Spain] La Liga 2,472,Las Palmas,72,72,73,72,30,Spain
"Oct 28, 2022",13, [England] Premier League,1925,Brentford,75,76,75,74,31,England
"Oct 28, 2022",13, [England] Premier League,144,Fulham,76,79,76,75,32,England
"Oct 28, 2022",19, [Germany] Bundesliga,1831,FC Union Berlin,75,76,74,75,28,Germany
"Oct 28, 2022",68, [Turkey] Super Lig,327,Beşiktaş,74,73,74,73,24,Turkey
"Oct 28, 2022",308, [Portugal] Liga Portugal,237,Sporting CP,78,77,79,78,30,Portugal
"Oct 28, 2022",14, [England] Championship,1796,Burnley,73,72,73,73,30,England
"Oct 28, 2022",53, [Spain] La Liga,240,Atlético Madrid,83,83,83,81,33,Spain
"Oct 28, 2022",13, [England] Premier League,1799,Crystal Palace,76,77,76,76,30,England
"Oct 28, 2022",16, [France] Ligue 1,74,Rennes,77,77,77,76,27,France
"Oct 28, 2022",353, [Argentina] Liga Profesional,110406,Colón,70,70,69,71,24,Argentina
"Oct 28, 2022",10, [Netherlands] Eredivisie,247,PSV,76,76,77,74,28,Netherlands
"Oct 28, 2022",16, [France] Ligue 1,72,Nice,76,78,75,76,25,France
"Oct 28, 2022",80, [Austria] Bundesliga,191,Salzburg,72,73,72,72,28,Austria
"Oct 28, 2022",1, [Denmark] Superliga,1788,Nordsjælland,67,65,69,67,26,Denmark
"Oct 28, 2022",53, [Spain] La Liga,452,Espanyol,77,81,77,76,33,Spain
"Oct 28, 2022",4, [Belgium] Jupiler Pro League,229,Anderlecht,72,73,71,73,28,Belgium
"Oct 28, 2022",53, [Spain] La Liga,449,Real Betis,79,80,81,76,33,Spain
"Oct 28, 2022",19, [Germany] Bundesliga,23,Borussia Mönchengladbach,77,79,78,76,33,Germany
"Oct 28, 2022",14, [England] Championship,1794,Sheffield United,72,71,73,72,30,England
"Oct 28, 2022",353, [Argentina] Liga Profesional,1876,River Plate,76,76,76,75,28,Argentina
"Oct 28, 2022",60, [England] League One,1790,Portsmouth,66,65,65,65,28,England
"Oct 28, 2022",68, [Turkey] Super Lig,101014,İstanbul Başakşehir,72,75,73,71,23,Turkey
"Oct 28, 2022",14, [England] Championship,1801,Preston North End,70,65,70,69,30,England
"Oct 28, 2022",10, [Netherlands] Eredivisie,1903,FC Utrecht,71,70,72,71,30,Netherlands
"Oct 28, 2022",10, [Netherlands] Eredivisie,1908,FC Twente,71,72,71,71,24,Netherlands
"Oct 28, 2022",20, [Germany] 2. Bundesliga,28,Hamburger SV,71,71,72,69,29,Germany
"Oct 28, 2022",68, [Turkey] Super Lig,436,Trabzonspor,76,74,76,75,29,Turkey
"Oct 28, 2022",19, [Germany] Bundesliga,34,Schalke 04,73,74,72,72,33,Germany
"Oct 28, 2022",31, [Italy] Serie A,110374,Fiorentina,78,77,78,78,26,Italy
"Oct 28, 2022",53, [Spain] La Liga,1860,Getafe,77,76,78,76,29,Spain
"Oct 28, 2022",14, [England] Championship,1795,Watford,73,72,71,74,30,England
"Oct 28, 2022",53, [Spain] La Liga,1968,Cádiz,75,75,74,75,33,Spain
"Oct 28, 2022",32, [Italy] Serie B,50,Parma,70,70,70,68,28,Italy
"Oct 28, 2022",54, [Spain] La Liga 2,244,Real Zaragoza,70,69,70,71,30,Spain
"Oct 28, 2022",31, [Italy] Serie A,1746,Empoli,73,74,73,72,28,Italy
"Oct 28, 2022",19, [Germany] Bundesliga,38,Werder Bremen,73,75,72,74,26,Germany
"Oct 28, 2022",14, [England] Championship,15,Queens Park Rangers,70,71,68,71,30,England
"Oct 28, 2022",14, [England] Championship,1806,Stoke City,69,69,69,69,30,England
"Oct 28, 2022",14, [England] Championship,12,Middlesbrough,71,68,69,72,30,England
"Oct 28, 2022",350, [Saudi Arabia] Pro League,112408,Al Wahda,66,76,67,63,30,Saudi Arabia
"Oct 28, 2022",19, [Germany] Bundesliga,166,Hertha BSC,74,74,75,73,31,Germany
"Oct 28, 2022",78, [World] Friendly International,1318,England,84,85,83,83,23,England
"Oct 28, 2022",54, [Spain] La Liga 2,573,Málaga,68,71,68,67,30,Spain
"Oct 28, 2022",14, [England] Championship,1792,Norwich City,72,72,71,72,28,England
"Oct 28, 2022",353, [Argentina] Liga Profesional,101085,Racing Club,74,72,74,73,27,Argentina
"Oct 28, 2022",4, [Belgium] Jupiler Pro League,231,Club Brugge,75,75,75,74,27,Belgium
"Oct 28, 2022",14, [England] Championship,1952,Hull City,70,71,70,68,30,England
"Oct 28, 2022",14, [England] Championship,1939,Huddersfield Town,70,67,68,69,30,England
"Oct 28, 2022",53, [Spain] La Liga,479,Osasuna,76,75,77,76,30,Spain
"Oct 28, 2022",16, [France] Ligue 1,71,Nantes,75,75,75,72,29,France
"Oct 28, 2022",317, [Croatia] 1. HNL,211,Dinamo Zagreb,72,72,72,72,27,Croatia
"Oct 28, 2022",31, [Italy] Serie A,206,Hellas Verona,74,73,73,73,29,Italy
"Oct 28, 2022",7, [Brazil] Serie A,1043,Flamengo,76,77,75,75,20,Brazil
"Oct 28, 2022",7, [Brazil] Serie A,1039,Athletico PR,74,74,72,75,20,Brazil
"Oct 28, 2022",32, [Italy] Serie B,203,Reggina,69,69,68,68,27,Italy
"Oct 28, 2022",65, [Republic of Ireland] Premier Division,834,Shelbourne,58,59,57,58,27,Republic of Ireland
"Oct 28, 2022",350, [Saudi Arabia] Pro League,607,Al Ittihad,71,76,73,67,28,Saudi Arabia
"Oct 28, 2022",68, [Turkey] Super Lig,111117,Fatih Karagümrük,70,71,71,65,26,Turkey
"Oct 28, 2022",10, [Netherlands] Eredivisie,1909,Vitesse,69,68,70,70,29,Netherlands
"Oct 28, 2022",308, [Portugal] Liga Portugal,1893,Marítimo,70,68,69,71,30,Portugal
"Oct 28, 2022",53, [Spain] La Liga,468,Elche,74,75,73,73,31,Spain
"Oct 28, 2022",65, [Republic of Ireland] Premier Division,306,Shamrock Rovers,63,65,62,63,26,Republic of Ireland
"Oct 28, 2022",7, [Brazil] Serie A,383,Palmeiras,76,78,77,74,20,Brazil
"Oct 28, 2022",19, [Germany] Bundesliga,169,FSV Mainz 05,75,76,75,74,29,Germany
"Oct 28, 2022",319, [Czech Republic] Fortuna Liga,266,Slavia Praha,74,72,74,72,28,Czech Republic
"Oct 28, 2022",54, [Spain] La Liga 2,114554,FC Andorra,66,68,66,65,26,Spain
"Oct 28, 2022",350, [Saudi Arabia] Pro League,112392,Al Raed,66,68,65,65,28,Saudi Arabia
"Oct 28, 2022",16, [France] Ligue 1,1530,Angers SCO,71,72,70,71,31,France
"Oct 28, 2022",350, [Saudi Arabia] Pro League,111674,Al Shabab,71,74,71,68,30,Saudi Arabia
"Oct 28, 2022",39, [United States] Major League Soccer,112606,Orlando City,69,70,71,67,26,United States
"Oct 28, 2022",353, [Argentina] Liga Profesional,110395,Lanús,71,73,71,71,28,Argentina
"Oct 28, 2022",63, [Greece] Super League,1884,Panathinaikos,73,73,73,71,28,Greece
"Oct 28, 2022",32, [Italy] Serie B,1848,Bari 1908,69,69,69,68,28,Italy
"Oct 28, 2022",66, [Poland] Ekstraklasa,1871,Legia Warszawa,68,67,69,67,27,Poland
"Oct 28, 2022",78, [World] Friendly International,1343,Italy,83,83,84,82,23,Italy
"Oct 28, 2022",31, [Italy] Serie A,55,Udinese,75,75,75,74,25,Italy
"Oct 28, 2022",39, [United States] Major League Soccer,112885,Atlanta United,69,63,71,65,25,United States
"Oct 28, 2022",53, [Spain] La Liga,110062,Girona,75,77,76,74,30,Spain
"Oct 28, 2022",19, [Germany] Bundesliga,100409,FC Augsburg,74,73,74,74,33,Germany
"Oct 28, 2022",54, [Spain] La Liga 2,1853,Levante,73,72,75,72,26,Spain
"Oct 28, 2022",4, [Belgium] Jupiler Pro League,2014,Union Saint-Gilloise,71,71,71,71,27,Belgium
"Oct 28, 2022",14, [England] Championship,1919,Bristol City,69,67,70,69,27,England
"Oct 28, 2022",14, [England] Championship,1793,Reading,69,70,70,68,30,England
"Oct 28, 2022",20, [Germany] 2. Bundesliga,110502,Darmstadt 98,70,70,69,72,28,Germany
"Oct 28, 2022",60, [England] League One,1807,Sheffield Wednesday,67,67,68,67,25,England
"Oct 28, 2022",308, [Portugal] Liga Portugal,10031,Portimonense,70,68,69,70,30,Portugal
"Oct 28, 2022",20, [Germany] 2. Bundesliga,110636,Fortuna Düsseldorf,71,71,71,71,30,Germany
"Oct 28, 2022",2020, [Peru] Primera Division,111334,Melgar,68,71,67,67,19,Peru
"Oct 28, 2022",68, [Turkey] Super Lig,101028,Hatayspor,69,72,69,68,28,Turkey
"Oct 28, 2022",61, [England] League Two,113926,Salford City,63,63,63,63,28,England
"Oct 28, 2022",54, [Spain] La Liga 2,467,SD Eibar,71,72,71,71,28,Spain
"Oct 28, 2022",1, [Denmark] Superliga,1516,Midtjylland,70,69,71,71,27,Denmark
"Oct 28, 2022",32, [Italy] Serie B,112494,Südtirol,66,66,65,64,27,Italy
"Oct 28, 2022",39, [United States] Major League Soccer,112828,New York City,67,73,69,65,23,United States
"Oct 28, 2022",60, [England] League One,112260,Fleetwood Town,64,65,63,65,28,England
"Oct 28, 2022",61, [England] League Two,112259,AFC Wimbledon,62,63,61,61,28,England
"Oct 28, 2022",65, [Republic of Ireland] Premier Division,111132,UCD,54,51,53,56,18,Republic of Ireland
"Oct 28, 2022",39, [United States] Major League Soccer,111140,Portland Timbers,70,70,71,70,26,United States
"Oct 28, 2022",61, [England] League Two,110799,Sutton United,61,61,62,62,28,England
"Oct 28, 2022",61, [England] League Two,112254,Newport County,61,61,60,61,28,Wales
"Oct 28, 2022",39, [United States] Major League Soccer,111065,Real Salt Lake,67,71,67,66,26,United States
