Update_Date_Team,Competition_ID,Competiton,Team_ID,Team,Overall_Comp,Attack_Comp,Milieu_Comp,Defense_Comp,NbJoueurs_Team,pays
"Jun 2, 2022",13, [England] Premier League,5,Chelsea,83,83,79,83,33,England
"Jun 2, 2022",10, [Netherlands] Eredivisie,246,Feyenoord,75,73,77,74,27,Netherlands
"Jun 2, 2022",13, [England] Premier League,1808,Brighton & Hove Albion,76,75,76,77,29,England
"Jun 2, 2022",68, [Turkey] Super Lig,325,Galatasaray,76,79,76,74,28,Turkey
"Jun 2, 2022",13, [England] Premier League,1,Arsenal,81,82,82,81,31,England
"Jun 2, 2022",19, [Germany] Bundesliga,22,Borussia Dortmund,81,78,80,81,32,Germany
"Jun 2, 2022",10, [Netherlands] Eredivisie,245,Ajax,77,79,78,76,27,Netherlands
"Jun 2, 2022",53, [Spain] La Liga,243,Real Madrid,85,85,86,84,33,Spain
"Jun 2, 2022",13, [England] Premier League,11,Manchester United,82,82,83,81,33,England
"Jun 2, 2022",31, [Italy] Serie A,48,Napoli,80,80,81,80,26,Italy
"Jun 2, 2022",13, [England] Premier League,10,Manchester City,85,85,87,84,26,England
"Jun 2, 2022",350, [Saudi Arabia] Pro League,112139,Al Nassr,73,88,71,72,30,Saudi Arabia
"Jun 2, 2022",13, [England] Premier League,110,Wolverhampton Wanderers,78,78,80,74,33,England
"Jun 2, 2022",53, [Spain] La Liga,241,FC Barcelona,83,83,85,82,31,Spain
"Jun 2, 2022",13, [England] Premier League,9,Liverpool,84,84,82,85,33,England
"Jun 2, 2022",16, [France] Ligue 1,73,Paris Saint Germain,84,91,83,83,23,France
"Jun 2, 2022",53, [Spain] La Liga,480,Rayo Vallecano,76,79,75,75,29,Spain
"Jun 2, 2022",308, [Portugal] Liga Portugal,237,Sporting CP,78,77,79,78,30,Portugal
"Jun 2, 2022",53, [Spain] La Liga,483,Villarreal,80,82,80,79,22,Spain
"Jun 2, 2022",13, [England] Premier League,144,Fulham,76,79,76,75,32,England
"Jun 2, 2022",53, [Spain] La Liga,457,Real Sociedad,79,78,80,78,33,Spain
"Jun 2, 2022",13, [England] Premier League,95,Leicester City,79,80,80,77,33,England
"Jun 2, 2022",353, [Argentina] Liga Profesional,110406,Colón,70,70,69,71,24,Argentina
"Jun 2, 2022",14, [England] Championship,1796,Burnley,73,72,73,73,30,England
"Jun 2, 2022",13, [England] Premier League,1943,AFC Bournemouth,74,74,74,73,29,England
"Jun 2, 2022",19, [Germany] Bundesliga,1831,FC Union Berlin,75,76,74,75,28,Germany
"Jun 2, 2022",31, [Italy] Serie A,1837,Sampdoria,73,74,72,74,28,Italy
"Jun 2, 2022",16, [France] Ligue 1,74,Rennes,77,77,77,76,27,France
"Jun 2, 2022",353, [Argentina] Liga Profesional,1877,Boca Juniors,75,75,75,75,28,Argentina
"Jun 2, 2022",13, [England] Premier League,1925,Brentford,75,76,75,74,31,England
"Jun 2, 2022",10, [Netherlands] Eredivisie,247,PSV,76,76,77,74,28,Netherlands
"Jun 2, 2022",308, [Portugal] Liga Portugal,236,Porto,78,80,78,76,30,Portugal
"Jun 2, 2022",13, [England] Premier League,1799,Crystal Palace,76,77,76,76,30,England
"Jun 2, 2022",50, [Scotland] Premiership,78,Celtic,74,74,75,73,28,Scotland
"Jun 2, 2022",350, [Saudi Arabia] Pro League,605,Al Hilal,73,75,74,70,30,Saudi Arabia
"Jun 2, 2022",68, [Turkey] Super Lig,327,Beşiktaş,74,73,74,73,24,Turkey
"Jun 2, 2022",14, [England] Championship,1795,Watford,73,72,71,74,30,England
"Jun 2, 2022",54, [Spain] La Liga 2,472,Las Palmas,72,72,73,72,30,Spain
"Jun 2, 2022",19, [Germany] Bundesliga,34,Schalke 04,73,74,72,72,33,Germany
"Jun 2, 2022",19, [Germany] Bundesliga,23,Borussia Mönchengladbach,77,79,78,76,33,Germany
"Jun 2, 2022",14, [England] Championship,1801,Preston North End,70,65,70,69,30,England
"Jun 2, 2022",14, [England] Championship,1794,Sheffield United,72,71,73,72,30,England
"Jun 2, 2022",14, [England] Championship,1792,Norwich City,72,72,71,72,28,England
"Jun 2, 2022",16, [France] Ligue 1,1809,Toulouse,72,71,74,71,28,France
"Jun 2, 2022",16, [France] Ligue 1,72,Nice,76,78,75,76,25,France
"Jun 2, 2022",1, [Denmark] Superliga,1788,Nordsjælland,67,65,69,67,26,Denmark
"Jun 2, 2022",78, [World] Friendly International,1318,England,84,85,83,83,23,England
"Jun 2, 2022",68, [Turkey] Super Lig,436,Trabzonspor,76,74,76,75,29,Turkey
"Jun 2, 2022",14, [England] Championship,1952,Hull City,70,71,70,68,30,England
"Jun 2, 2022",10, [Netherlands] Eredivisie,1906,AZ,74,75,75,71,30,Netherlands
"Jun 2, 2022",31, [Italy] Serie A,110374,Fiorentina,78,77,78,78,26,Italy
"Jun 2, 2022",14, [England] Championship,1939,Huddersfield Town,70,67,68,69,30,England
"Jun 2, 2022",31, [Italy] Serie A,1746,Empoli,73,74,73,72,28,Italy
"Jun 2, 2022",10, [Netherlands] Eredivisie,1908,FC Twente,71,72,71,71,24,Netherlands
"Jun 2, 2022",4, [Belgium] Jupiler Pro League,231,Club Brugge,75,75,75,74,27,Belgium
"Jun 2, 2022",19, [Germany] Bundesliga,166,Hertha BSC,74,74,75,73,31,Germany
"Jun 2, 2022",53, [Spain] La Liga,1860,Getafe,77,76,78,76,29,Spain
"Jun 2, 2022",32, [Italy] Serie B,50,Parma,70,70,70,68,28,Italy
