ID,BirthDate,Name,From,To,ID_From,ID_To,Date,Prix,Nature
175943,"May 6, 1987",Dries Mertens,Napoli,Galatasaray,/team/48/napoli/,/team/325/galatasaray/,"Aug 8, 2022",free,transfert
175943,"May 6, 1987",Dries Mertens,PSV,Napoli,/team/247/psv/,/team/48/napoli/,"Jul 1, 2013",€ 9M,transfert
175943,"May 6, 1987",Dries Mertens,FC Utrecht,PSV,/team/1903/fc-utrecht/,/team/247/psv/,"Jul 1, 2011",€ 5.5M,transfert
175943,"May 6, 1987",Dries Mertens, AGOVV,FC Utrecht,,/team/1903/fc-utrecht/,"Jul 1, 2009",€ 600K,transfert
207863,"May 16, 1989",Felipe Augusto de Almeida Monteiro,Porto,Atlético Madrid,/team/236/porto/,/team/240/atletico-madrid/,"Jul 1, 2019",€ 20M,transfert
152729,"Feb 2, 1987",Gerard Piqué Bernabeu,Manchester United,FC Barcelona,/team/11/manchester-united/,/team/241/fc-barcelona/,"Jul 1, 2008",€ 5M,transfert
143076,"Feb 15, 1988",Alejandro Gómez, Metalist,Atalanta,,/team/39/atalanta/,"Sep 1, 2014",n/a,transfert
143076,"Feb 15, 1988",Alejandro Gómez,Catania, Metalist,/team/110364/catania/,,"Aug 2, 2013",€ 7M,transfert
207863,"May 16, 1989",Felipe Augusto de Almeida Monteiro,Corinthians,Porto,/team/1041/corinthians/,/team/236/porto/,"Jul 1, 2016",€ 6.2M,transfert
207863,"May 16, 1989",Felipe Augusto de Almeida Monteiro,Bragantino,Corinthians,/team/112472/bragantino/,/team/1041/corinthians/,"Dec 8, 2011",n/a,transfert
152729,"Feb 2, 1987",Gerard Piqué Bernabeu,Manchester United,Real Zaragoza,/team/11/manchester-united/,/team/244/real-zaragoza/,"Aug 4, 2006",loan,loan
143076,"Feb 15, 1988",Alejandro Gómez,San Lorenzo,Catania,/team/1013/san-lorenzo/,/team/110364/catania/,"Jul 1, 2010",€ 2.5M,transfert
143076,"Feb 15, 1988",Alejandro Gómez,Arsenal de Sarandi,San Lorenzo,/team/110394/arsenal-de-sarandi/,/team/1013/san-lorenzo/,"Jan 6, 2009",€ 1.6M,transfert
146536,"Nov 21, 1985",Jesús Navas González,Manchester City,Sevilla,/team/10/manchester-city/,/team/481/sevilla/,"Aug 1, 2017",free,transfert
199845,"Feb 10, 1988",Francesco Acerbi,Inter,Lazio,/team/44/inter/,/team/46/lazio/,"Jul 1, 2023",n/a,transfert
199845,"Feb 10, 1988",Francesco Acerbi,Lazio,Inter,/team/46/lazio/,/team/44/inter/,"Sep 1, 2022",loan,loan
146536,"Nov 21, 1985",Jesús Navas González,Sevilla,Manchester City,/team/481/sevilla/,/team/10/manchester-city/,"Jul 1, 2013",€ 20M,transfert
168542,"Jan 8, 1986",David Josué Jiménez Silva,Manchester City,Real Sociedad,/team/10/manchester-city/,/team/457/real-sociedad/,"Aug 17, 2020",n/a,transfert
199845,"Feb 10, 1988",Francesco Acerbi,Sassuolo,Lazio,/team/111974/sassuolo/,/team/46/lazio/,"Jul 11, 2018",€ 10M,transfert
199845,"Feb 10, 1988",Francesco Acerbi,Genoa,Sassuolo,/team/110556/genoa/,/team/111974/sassuolo/,"Jul 8, 2013",€ 1.7M,transfert
199845,"Feb 10, 1988",Francesco Acerbi,Chievo,Genoa,/team/192/chievo/,/team/110556/genoa/,"Jul 1, 2013",n/a,transfert
199845,"Feb 10, 1988",Francesco Acerbi,Genoa,Chievo,/team/110556/genoa/,/team/192/chievo/,"Jan 31, 2013",loan,loan
199845,"Feb 10, 1988",Francesco Acerbi,Milan,Genoa,/team/47/milan/,/team/110556/genoa/,"Jan 26, 2013",€ 4M,transfert
199845,"Feb 10, 1988",Francesco Acerbi,Chievo,Milan,/team/192/chievo/,/team/47/milan/,"Jul 1, 2012",€ 4M,transfert
184134,"Jul 25, 1987",Fernando Reges Mouta,Galatasaray,Sevilla,/team/325/galatasaray/,/team/481/sevilla/,"Jul 12, 2019",€ 4.5M,transfert
168542,"Jan 8, 1986",David Josué Jiménez Silva,Valencia,Manchester City,/team/461/valencia/,/team/10/manchester-city/,"Jul 1, 2010",€ 28.8M,transfert
168542,"Jan 8, 1986",David Josué Jiménez Silva,Valencia,Celta de Vigo,/team/461/valencia/,/team/450/celta-de-vigo/,"Aug 1, 2005",loan,loan
168542,"Jan 8, 1986",David Josué Jiménez Silva,Valencia,SD Eibar,/team/461/valencia/,/team/467/sd-eibar/,"Aug 1, 2004",loan,loan
